"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Deathcap Glade","","R","18449","3.70","3441","5.04","16755","77.1%","54.1%","3158","55.3%","4239","56.5%","7397","56.0%","9035","52.5%","3.5pp"
"Thornfist Striker","G","U","45796","4.86","6977","6.55","31122","71.2%","54.5%","5412","55.7%","7762","56.1%","13174","56.0%","17636","53.2%","2.8pp"
"Embrace the Paradox","UG","C","129698","6.24","20291","8.62","74946","59.2%","53.9%","12427","51.3%","21565","58.7%","33992","56.0%","39731","52.0%","4.0pp"
"Owlin Historian","W","C","130314","6.26","19319","8.73","73540","59.5%","56.5%","12793","55.4%","19311","56.3%","32104","55.9%","41454","56.9%","-1.0pp"
"Masterful Flourish","B","C","140566","7.23","15395","10.60","26750","27.4%","55.7%","4402","55.0%","6368","56.4%","10770","55.8%","15835","55.5%","0.3pp"
"Duel Tactics","R","U","56305","6.36","8372","8.88","20614","38.6%","55.5%","3505","54.3%","5343","56.7%","8848","55.8%","11639","55.2%","0.6pp"
"Expressive Firedancer","R","C","130560","6.32","21214","8.66","79519","58.7%","55.5%","14200","57.1%","21263","54.8%","35463","55.8%","43378","55.2%","0.6pp"
"Noxious Newt","G","C","102026","4.45","17258","5.98","92578","86.5%","54.1%","16880","55.6%","23935","55.8%","40815","55.7%","50735","52.9%","2.8pp"
"Poisoner's Apprentice","B","U","38681","4.08","7137","5.16","34386","76.5%","54.8%","5936","55.1%","8215","56.0%","14151","55.6%","19759","53.9%","1.7pp"
"Titan's Grave","","C","145490","5.51","23788","7.82","116883","78.9%","54.8%","22084","56.2%","29583","55.2%","51667","55.6%","63747","54.0%","1.7pp"
"Bogwater Lumaret","BG","C","100459","4.72","15625","6.29","76844","78.9%","54.7%","13428","56.2%","18590","55.2%","32018","55.6%","43777","53.9%","1.7pp"
"Bring to Light","UG","R","5320","5.01","749","6.99","1276","27.3%","55.0%","214","","392","","606","55.6%","659","54.2%","1.4pp"
"Resonating Lute","UR","R","11964","2.87","4407","3.01","20007","74.2%","53.1%","3455","53.5%","6085","56.8%","9540","55.6%","9829","50.1%","5.5pp"
"Send in the Pest","B","C","122376","5.65","17571","7.82","71599","64.2%","55.1%","12819","55.9%","17240","55.2%","30059","55.5%","41232","54.8%","0.8pp"
"Quick Study","U","C","131943","6.33","19007","8.97","62876","53.3%","53.4%","10999","53.6%","18538","56.7%","29537","55.5%","32141","51.2%","4.3pp"
"Shared Roots","G","U","39414","4.25","7601","5.44","35344","75.3%","53.6%","6451","56.3%","9411","54.9%","15862","55.5%","19243","52.1%","3.4pp"
"Stargaze","B","U","57349","6.77","7046","9.86","11657","26.5%","55.3%","1962","51.3%","2905","58.3%","4867","55.5%","6731","54.9%","0.6pp"
"Flashback","R","R","19143","4.22","3524","5.68","13137","58.7%","54.0%","2191","50.9%","3847","58.0%","6038","55.4%","6792","52.3%","3.1pp"
"Primary Research","W","U","42285","4.61","8740","5.79","37025","67.3%","55.9%","6137","53.6%","10040","56.6%","16177","55.4%","20750","56.3%","-0.8pp"
"Berta, Wise Extrapolator","UG","R","9144","2.25","3909","2.33","20487","86.1%","53.0%","3494","52.9%","6020","56.9%","9514","55.4%","10572","50.5%","4.9pp"
"Banishing Betrayal","U","C","132320","6.35","19346","9.00","66640","55.5%","53.1%","11813","51.1%","19290","58.1%","31103","55.4%","34037","50.8%","4.6pp"
"Emeritus of Conflict","R","M","4061","2.04","1953","2.10","10719","87.5%","54.8%","1960","54.2%","2993","56.2%","4953","55.4%","5604","54.3%","1.1pp"
"Elemental Mascot","UR","C","125846","6.15","19084","8.53","73963","61.5%","54.0%","12610","54.2%","21621","56.0%","34231","55.4%","38186","52.6%","2.8pp"
"Feed the Swarm","B","U","33275","3.58","6654","4.63","35653","85.6%","54.7%","6313","53.1%","9086","56.5%","15399","55.1%","19946","54.2%","0.9pp"
